NAME,SYMBOL,SLUG,N MARKET PAIRS,DATE ADDED,TAGS,MAX SUPPLY,CIRC SUPPLY,TOTAL SUPPLY,CMC RANK,LAST UPDATED,EXCH CUR,PRICE,VOLUME 24h,% CHANGE 1h,% CHANGE 24h,% CHANGE 7d,% CHANGE 30d,% CHANGE 60d,% CHANGE 90d,MARKET CAP
TreeDefi,SEED,treedefi,2,2021-04-20T00:00:00.000Z,,1584000,0,0,2655,2021-05-11T12:52:03.000Z,GBP,32.69390707,2127286.639,-2.28759537,-20.46970279,118.3894321,,,,0
ThingsOperatingSystem,TOS,thingsoperatingsystem,1,2018-07-27T00:00:00.000Z,,,0,1000000000,2656,2021-05-11T12:51:15.000Z,GBP,0.002152741,2096270.423,-11.05724857,36.91683076,36.46717704,-29.96147607,194.5645364,279.1777127,0
FairGame,FAIR,fairgame,4,2018-01-11T00:00:00.000Z,,,0,1200000000,2657,2021-05-11T12:52:05.000Z,GBP,0.006487711,2094441.726,0.22795106,-1.06138987,-0.96835778,-7.98356868,31.54991955,55.93185993,0
Davion,DAVP,davion,1,2019-12-30T00:00:00.000Z,,,0,42000000,2658,2021-05-11T12:51:12.000Z,GBP,0.052222123,2033521.284,-4.18985319,6.0193063,-27.46963751,73.98089188,52.5318635,-14.7715132,0
OVR,OVR,ovr,6,2020-12-30T00:00:00.000Z,"collectibles-nfts,metaverse",95000000,0,0,2659,2021-05-11T12:51:18.000Z,GBP,0.906846203,2027508.913,-1.05837252,-7.3161649,-18.33186227,-31.62408687,51.52097282,792.8201175,0
BigBoys Industry,BBI,bigboys-industry,2,2021-02-24T00:00:00.000Z,,,0,0,2660,2021-05-11T12:52:06.000Z,GBP,1375.146644,2009177.939,-1.08145011,-5.37379714,-4.69667096,10.88483277,151.0301128,,0
Refinable,FINE,refinable,6,2021-04-16T00:00:00.000Z,"collectibles-nfts,binance-smart-chain,polkastarter",,0,500000000,2661,2021-05-11T12:52:03.000Z,GBP,1.375888574,2044598.68,-1.29940125,-9.95067173,-17.60822166,,,,0
Polaris Share,POLA,polaris-share,1,2020-11-21T00:00:00.000Z,,5000000000,0,5000000000,2662,2021-05-11T12:52:07.000Z,GBP,0.151232214,2003933.871,-2.53829553,-6.64947437,-21.8935789,-38.64412562,-23.11776992,-9.13489881,0
Bafe io,BAFE,bafe-io,4,2021-04-20T00:00:00.000Z,,,0,0,2663,2021-05-11T12:52:03.000Z,GBP,6.98E-08,2022663.351,16.6672997,285.986382,433.6393265,,,,0
Stone DeFi,STN,stone-token,4,2021-03-31T00:00:00.000Z,exnetwork-capital-portfolio,,0,0,2664,2021-05-11T12:51:09.000Z,GBP,1.395419282,1984166.674,-2.16592085,-15.80122289,-39.06674884,-49.48654441,,,0
LINKDOWN,LINKDOWN,linkdown,1,2020-09-11T00:00:00.000Z,,,0,0,2665,2021-05-11T12:51:10.000Z,GBP,0.498743212,1910788.203,4.75504863,9.84523351,-33.03441518,-86.28965318,95019.71628,34824.19655,0
Atletico De Madrid Fan Token,ATM,atletico-de-madrid-fan-token,4,2020-02-13T00:00:00.000Z,"sports,fan-token",,0,10000000,2666,2021-05-11T12:52:03.000Z,GBP,6.645859095,1822636.835,-1.37500708,-4.05174633,-5.4437202,-9.71249179,2.64635685,61.51085905,0
Velo,VELO,velo,3,2020-09-21T00:00:00.000Z,,,0,30000000000,2667,2021-05-11T12:51:17.000Z,GBP,0.407197639,1807858.012,-0.15476693,-3.45166443,-8.34385715,-31.65830992,-52.12563107,-46.04011008,0
Cellframe,CELL,cellframe,3,2021-03-29T00:00:00.000Z,"zero-knowledge-proofs,quantum-resistant,scaling,sharding,exnetwork-capital-portfolio,trustswap-launchpad",30300000,0,0,2668,2021-05-11T12:51:09.000Z,GBP,1.732772208,1785495.328,1.02105428,-2.65374375,-37.30233859,-39.7600081,,,0
Firdaos,FDO,firdaos,3,2021-01-05T00:00:00.000Z,,1920241,0,0,2669,2021-05-11T12:51:18.000Z,GBP,0.784251335,1759783.929,-8.17001742,-8.51218948,-16.27602931,-64.80096175,654.3246058,1321.048832,0
